"requirement_id","source_document","source_line_range","gate","feature","required_behavior","current_files","current_implementation","visible_v197_control","bridge_binding","api_endpoint","service","database_model","migration","authorization_or_rls","worker_or_external_provider","unit_test","integration_test","browser_e2e","runtime_evidence","operational_evidence","current_status","exact_gap","required_fix","acceptance_test","founder_action_required","final_verdict"
"G14-003","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Files and deliverables","Deliverables with evidence","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","test_am_project_storage.py passes","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-004","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Encrypted owner-scoped object metadata","Object metadata encrypted and owner-scoped","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","app/services/object_storage.py exists; encryption-at-rest claim unproven","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-005","MASTERPLAN_V5","2687-2880","G14_PROJECTS","MIME/size/malware/quota validation","Upload validation including malware scan","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","Quota and MIME/size covered by test_am_project_quota.py; no malware scan","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-006","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Signed short-lived access","Signed URLs with short expiry","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","Implemented; expiry/race test unproven","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-007","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Deletion/export lifecycle","Files deletable and exportable","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","storage_hygiene.py + test_storage_hygiene.py exist","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-008","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Bounded agent tasks/runs/artifacts/reviews","Agent orchestration with review","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","MISSING","No agents module; V5 PRJ-002 unmet","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-009","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Capabilities, budgets, cancel, rollback","Agent capability allowlist and budget with cancel/rollback","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","MISSING","No agent permission model","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-010","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Human approval before irreversible actions","Confirmation gate for irreversible agent actions","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","MISSING","No approval gate","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-011","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Timeline/Insights/Glow/Capsule projection","Project events project into the universe","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","Projection routes exist; parity unproven","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-012","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Capsule creation from canonical V197","Owner creates a Capsule from the shell","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","See G03-011","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-013","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Recipient grants/expiry/questions/immediate revoke","Grant lifecycle with immediate revoke","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","app/sharing/ + test_capsules.py + capsule.spec.ts exist; cache/race tests unproven","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G14-014","MASTERPLAN_V5","2687-2880","G14_PROJECTS","Audit trail","Capsule and project access audited","apps/api/app/api/v1/projects.py, app/services/project_execution.py, app/sharing/","","","","","","","0014, 0030","","","test_am_projects.py, test_am_project_*.py, test_capsules.py","","project-deliverables.spec.ts, capsule.spec.ts","","","PARTIAL","audit_service.py covers events","","Membership, sandbox, permission, cancellation, review and deliverable evidence","","OPEN"
"G15-001","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Installable PWA","Installable shell with manifest and service worker","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","PARTIAL","apps/web/public/manifest.webmanifest + offline.html exist; install proof absent","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-002","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Offline-safe drafts","Drafts survive offline and reconcile on reconnect","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","MISSING","No offline draft store","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-003","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Reconnect/conflict/update behaviour","Update and conflict handling on reconnect","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","MISSING","","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-004","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Push permission UX","Explicit push permission flow","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","MISSING","","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-005","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Complete CI required gates","GitHub Actions run green with required gates on the candidate","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","UNPROVEN","No CI run observed on 6d7eeef; work never pushed","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-006","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Browser matrix in CI","Chromium + Firefox + WebKit + mobile in CI","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","UNPROVEN","","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-007","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Secret/dependency/SBOM scans","All three scans blocking in CI","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","PARTIAL","secret-scan only","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-008","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Staging environment","Production-like staging with separate secrets","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","BLOCKED_EXTERNAL","No staging environment available","","Staging release + restore drill + browser/device matrix green","FOUNDER_ACTION_REQUIRED_STAGING_ACCESS","OPEN"
"G15-009","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Health/readiness/synthetic probes","Probes and synthetic checks","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","PARTIAL","app/api/v1/ops.py + test_health.py + test_ops_diagnostics.py exist","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-010","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Logs/metrics/traces/alerts","Structured redacted telemetry with alerts","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","PARTIAL","app/observability/ exists; alerting absent","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-011","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Incident and rollback runbooks","Documented incident roles and rollback","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","PARTIAL","RUNBOOK.md exists; incident roles unproven","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-012","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Encrypted backup","Automated encrypted database backups","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","PARTIAL","infra/scripts/dr-backup.sh + dev-backup.sh exist","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-013","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Isolated restore + timed drill + RPO/RTO","Restore into isolation with measured RPO/RTO","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","UNPROVEN","infra/scripts/dr-drill.sh + dr-restore.sh + test_dr.py exist; no timed drill executed on this candidate","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-014","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Graceful shutdown/draining","Graceful shutdown and request draining","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","MISSING","","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-015","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Queue recovery / dead-letter","Visible retry and dead-letter workflow","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","PARTIAL","domain_event_service.py outbox exists; dead-letter tooling absent","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-016","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Object reconciliation","Storage reconciled against metadata","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","PARTIAL","storage_hygiene.py","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-017","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Quotas / rate limits","Per-owner quotas and rate limits","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","PARTIAL","Upload quota + auth limits exist","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-018","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Bounded load test","Bounded load test with recorded results","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","PARTIAL","test_bounded_load.py exists; no recorded load report","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-019","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Privacy-center operations","Access/rectify/export/erase/restrict/portability with receipts","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","MISSING","No privacy center","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-020","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Retention schedule + provider deletion","Retention schedule enforced and provider deletion confirmed","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","MISSING","","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G15-021","MASTERPLAN_V5","3220-3294","G15_SCALE_OPS","Production configuration review","Documented production configuration review","infra/scripts/, apps/api/app/observability/, apps/api/app/api/v1/ops.py","","","","","","","","","","test_dr.py, test_health.py, test_ops_diagnostics.py, test_bounded_load.py","","","","","MISSING","","","Staging release + restore drill + browser/device matrix green","","OPEN"
"G16-001","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Deterministic gate runner","infra/scripts/nur-gate.sh <gate> writing timestamped JSON + Markdown evidence","infra/scripts/","","","","","","","","","","","","","infra/scripts/nur-gate.sh implemented; G00-G16 runner with per-gate JSON+Markdown evidence","","PASS","","","Zero unresolved blocker for the claimed scope","","PASS"
"G16-002","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","All applicable gates PASS on one candidate","Every gate green on the same exact commit","infra/scripts/","","","","","","","","","","","","","","","MISSING","G00 through G15 are not all PASS","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-003","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","No inherited evidence","No evidence carried from another worktree or branch","infra/scripts/","","","","","","","","","","","","","","","PARTIAL","Live-Talk proof currently exists only at 33a5dab; the control matrix is generated_from_sha 33a5dab","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-004","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Fresh-clone / fresh-extract boot","The packaged artifact boots from a clean extract","infra/scripts/","","","","","","","","","","","","","","","UNPROVEN","infra/scripts/package-bootable.sh exists; not executed this session","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-005","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Package contents inspected + secret scanned","Source and artifact scanned; no excluded material present","infra/scripts/","","","","","","","","","","","","","","","UNPROVEN","","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-006","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","SBOM","SBOM produced for the release","infra/scripts/","","","","","","","","","","","","","","","MISSING","No SBOM generator","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-007","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Migration manifest","Migration manifest included in the release","infra/scripts/","","","","","","","","","","","","","","","MISSING","","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-008","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Operations runbook","Runbook shipped with the release","infra/scripts/","","","","","","","","","","","","","","","PARTIAL","RUNBOOK.md exists","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-009","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Rollback and restore evidence","Rollback and restore evidence in the package","infra/scripts/","","","","","","","","","","","","","","","MISSING","","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-010","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Founder demo and release scripts","Demo and release scripts included","infra/scripts/","","","","","","","","","","","","","","","PARTIAL","DEMO_SCRIPT.md + RUN_NUR.sh exist","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-011","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Status ledger updated to V6","docs/v6/NUR_EXACT_STATUS_LEDGER_V6.md written from evidence","infra/scripts/","","","","","","","","","","","","","","","MISSING","Not yet authored","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-012","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Seven release deliverables","zip, zip.sha256, MANIFEST.json, SBOM.json, EVIDENCE.zip, RELEASE_NOTES.md, ROLLBACK.md","infra/scripts/","","","","","","","","","","","","","","","MISSING","None produced","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-013","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Independent artifact verification","verify-release-package.sh validates the built artifact","infra/scripts/","","","","","","","","","","","","","","","MISSING","infra/scripts/verify-release-package.sh does not exist","","Zero unresolved blocker for the claimed scope","","OPEN"
"G16-014","MASTERPLAN_V5","3417-3456","G16_FULL_RELEASE","Founder release approval","Founder explicitly approves release","infra/scripts/","","","","","","","","","","","","","","","FOUNDER_ACTION_REQUIRED","Release approval is founder-controlled","","Zero unresolved blocker for the claimed scope","FOUNDER_ACTION_REQUIRED_RELEASE_APPROVAL","OPEN"
"G01-018","FOUNDER_ORCHESTRATOR_V6","item 2","G01_STATIC","Test-run isolation","Two concurrent test invocations cannot invalidate each other's database or rate-limit state","apps/api/app/tests/conftest.py, app/core/config.py, app/services/rate_limit.py","Per-run database nur_test_<id>, Redis namespace nurtest:<id>, advisory-locked role provisioning","","","","","","","","","app/tests/test_run_isolation.py (7 tests)","","","Three concurrent full suites: 187 passed each, exit 0 each. Before the fix: one pass, 187 errors.","","PASS","","","Concurrent suites both green; no .flushdb( call anywhere in the suite","","PASS"
